Gym has been unmaintained since 2022 and does not support NumPy 2.0 amongst other critical functionality.
Please upgrade to Gymnasium, the maintained drop-in replacement of Gym, or contact the authors of your software and request that they upgrade.
Users of this version of Gym should be able to simply replace 'import gym' with 'import gymnasium as gym' in the vast majority of cases.
See the migration guide at https://gymnasium.farama.org/introduction/migration_guide/ for additional information.
pygame 2.5.2 (SDL 2.28.2, Python 3.12.4)
Ep 6: Q_pred=11.94, Q_real=0.00
Ep 7: Q_pred=14.22, Q_real=0.00
Ep 8: Q_pred=16.13, Q_real=-28.83
Ep 9: Q_pred=16.93, Q_real=-3.66
Ep 10: Q_pred=17.53, Q_real=-90.26
Ep 11: Q_pred=15.17, Q_real=0.00
Ep 12: Q_pred=13.75, Q_real=0.00
Ep 13: Q_pred=13.05, Q_real=-246.49
Ep 14: Q_pred=8.92, Q_real=0.00
Ep 15: Q_pred=8.61, Q_real=-57.51
Ep 16: Q_pred=7.61, Q_real=-13.76
Ep 17: Q_pred=5.82, Q_real=-21.95
Ep 18: Q_pred=0.75, Q_real=0.00
Ep 19: Q_pred=0.38, Q_real=-237.14
Ep 20: Q_pred=-2.67, Q_real=-986.28
Ep 21: Q_pred=-5.63, Q_real=-306.34
Ep 22: Q_pred=-8.78, Q_real=-153.19
Ep 23: Q_pred=-11.06, Q_real=-94.10
Ep 24: Q_pred=-12.61, Q_real=-34.00
Ep 25: Q_pred=-16.23, Q_real=-120.39
Ep 26: Q_pred=-17.16, Q_real=-54.69
Ep 27: Q_pred=-21.71, Q_real=-1274.62
Ep 28: Q_pred=-20.81, Q_real=-60.17
Ep 29: Q_pred=-22.62, Q_real=-7.45
Ep 30: Q_pred=-20.13, Q_real=-1482.94
Ep 31: Q_pred=-21.06, Q_real=0.00
Ep 32: Q_pred=-20.31, Q_real=-2.21
Ep 33: Q_pred=-20.34, Q_real=-1.47
Ep 34: Q_pred=-21.34, Q_real=-4.45
Ep 35: Q_pred=-19.49, Q_real=-16.48
Ep 36: Q_pred=-24.82, Q_real=0.00
Ep 37: Q_pred=-17.82, Q_real=-26.94
Ep 38: Q_pred=-12.61, Q_real=-48.32
Ep 39: Q_pred=-10.90, Q_real=-869.90
Ep 40: Q_pred=-9.12, Q_real=-25.22
Ep 41: Q_pred=-7.46, Q_real=-793.36
Ep 42: Q_pred=-7.80, Q_real=-43.74
Ep 43: Q_pred=-4.87, Q_real=-22.95
Ep 44: Q_pred=-4.86, Q_real=-101.10
Ep 45: Q_pred=3.04, Q_real=-21.16
Ep 46: Q_pred=13.59, Q_real=-383.21
Ep 47: Q_pred=7.10, Q_real=0.00
Ep 48: Q_pred=9.12, Q_real=-13.49
Ep 49: Q_pred=7.48, Q_real=-83.32
Ep 50: Q_pred=21.37, Q_real=-0.64
Ep 51: Q_pred=23.09, Q_real=-131.34
Ep 52: Q_pred=25.31, Q_real=-70.76
Ep 53: Q_pred=23.08, Q_real=0.00
Ep 54: Q_pred=33.37, Q_real=0.00
Ep 55: Q_pred=37.57, Q_real=-2.99
Ep 56: Q_pred=31.54, Q_real=-1235.34
Ep 57: Q_pred=37.17, Q_real=-32.35
Ep 58: Q_pred=37.89, Q_real=-120.05
Ep 59: Q_pred=42.76, Q_real=-701.96
Ep 60: Q_pred=38.81, Q_real=-54.58
Ep 61: Q_pred=54.03, Q_real=-319.45
Ep 62: Q_pred=47.33, Q_real=0.00
Ep 63: Q_pred=55.98, Q_real=-446.98
Ep 64: Q_pred=41.95, Q_real=-94.14
Ep 65: Q_pred=41.90, Q_real=-0.08
Ep 66: Q_pred=53.16, Q_real=-1206.70
Ep 67: Q_pred=53.21, Q_real=0.00
Ep 68: Q_pred=50.27, Q_real=-74.27
Ep 69: Q_pred=55.35, Q_real=-50.16
Ep 70: Q_pred=54.16, Q_real=0.00
Ep 71: Q_pred=62.12, Q_real=-704.95
Ep 72: Q_pred=47.22, Q_real=0.00
Ep 73: Q_pred=49.56, Q_real=-269.02
Ep 74: Q_pred=47.46, Q_real=0.00
Ep 75: Q_pred=64.22, Q_real=-41.13
Ep 76: Q_pred=57.35, Q_real=-1465.91
Ep 77: Q_pred=50.38, Q_real=-32.69
Ep 78: Q_pred=57.56, Q_real=0.00
Ep 79: Q_pred=66.83, Q_real=-11.08
Ep 80: Q_pred=54.05, Q_real=-1529.67
Ep 81: Q_pred=57.74, Q_real=0.00
Ep 82: Q_pred=57.23, Q_real=-29.61
Ep 83: Q_pred=61.81, Q_real=-101.34
Ep 84: Q_pred=46.16, Q_real=-93.15
Ep 85: Q_pred=69.48, Q_real=-191.93
Ep 86: Q_pred=57.94, Q_real=0.00
Ep 87: Q_pred=49.08, Q_real=0.00
Ep 88: Q_pred=58.17, Q_real=0.00
Ep 89: Q_pred=71.31, Q_real=-1091.64
Ep 90: Q_pred=60.55, Q_real=-785.22
Ep 91: Q_pred=67.24, Q_real=-0.64
Ep 92: Q_pred=61.65, Q_real=-3.67
Ep 93: Q_pred=73.75, Q_real=-207.00
Ep 94: Q_pred=57.68, Q_real=-30.57
Ep 95: Q_pred=50.09, Q_real=0.00
Ep 96: Q_pred=57.95, Q_real=-16.34
Ep 97: Q_pred=52.95, Q_real=-40.51
Ep 98: Q_pred=63.50, Q_real=-636.99
Ep 99: Q_pred=65.06, Q_real=-14.92
Ep 100: Q_pred=58.41, Q_real=-54.85
Ep 101: Q_pred=71.70, Q_real=-319.45
Ep 102: Q_pred=48.22, Q_real=-8.82
Ep 103: Q_pred=59.74, Q_real=-15.82
Ep 104: Q_pred=46.68, Q_real=-8.51
Ep 105: Q_pred=59.94, Q_real=-678.08
Ep 106: Q_pred=65.36, Q_real=-254.41
Ep 107: Q_pred=71.29, Q_real=-445.70
Ep 108: Q_pred=53.42, Q_real=0.00
Ep 109: Q_pred=49.30, Q_real=-126.89
Ep 110: Q_pred=60.17, Q_real=-765.79
Ep 111: Q_pred=49.72, Q_real=-4.41
Ep 112: Q_pred=61.90, Q_real=-1351.24
Ep 113: Q_pred=48.22, Q_real=-33.76
Ep 114: Q_pred=63.25, Q_real=-255.69
Ep 115: Q_pred=45.88, Q_real=-14.85
Ep 116: Q_pred=41.51, Q_real=0.00
Ep 117: Q_pred=59.38, Q_real=-63.13
Ep 118: Q_pred=40.32, Q_real=0.00
Ep 119: Q_pred=40.12, Q_real=0.00
Ep 120: Q_pred=31.55, Q_real=0.00
Ep 121: Q_pred=45.86, Q_real=-0.36
Ep 122: Q_pred=42.82, Q_real=0.00
Ep 123: Q_pred=45.10, Q_real=-23.03
Ep 124: Q_pred=41.56, Q_real=-11.91
Ep 125: Q_pred=47.95, Q_real=-45.03
Ep 126: Q_pred=50.02, Q_real=-14.96
Ep 127: Q_pred=44.43, Q_real=-11.19
Ep 128: Q_pred=38.89, Q_real=0.00
Ep 129: Q_pred=34.85, Q_real=0.00
Ep 130: Q_pred=32.82, Q_real=0.00
Ep 131: Q_pred=37.91, Q_real=0.00
Ep 132: Q_pred=45.43, Q_real=0.00
Ep 133: Q_pred=30.84, Q_real=0.00
Ep 134: Q_pred=31.02, Q_real=0.00
Ep 135: Q_pred=51.16, Q_real=-510.74
Ep 136: Q_pred=36.31, Q_real=-19.95
Ep 137: Q_pred=31.55, Q_real=-764.52
Ep 138: Q_pred=55.20, Q_real=-0.64
Ep 139: Q_pred=35.32, Q_real=0.00
Ep 140: Q_pred=29.78, Q_real=0.00
Ep 141: Q_pred=34.51, Q_real=0.00
Ep 142: Q_pred=27.55, Q_real=0.00
Ep 143: Q_pred=12.60, Q_real=-26.39
Ep 144: Q_pred=20.58, Q_real=0.00
Ep 145: Q_pred=33.34, Q_real=0.00
Ep 146: Q_pred=18.13, Q_real=0.00
Ep 147: Q_pred=34.84, Q_real=-254.41
Ep 148: Q_pred=22.02, Q_real=0.00
Ep 149: Q_pred=26.28, Q_real=-63.13
Ep 150: Q_pred=33.07, Q_real=-510.74
Ep 151: Q_pred=21.81, Q_real=0.00
Ep 152: Q_pred=37.61, Q_real=-582.30
Ep 153: Q_pred=13.29, Q_real=-61.26
Ep 154: Q_pred=8.13, Q_real=0.00
Ep 155: Q_pred=14.31, Q_real=0.00
Ep 156: Q_pred=15.38, Q_real=-1.46
Ep 157: Q_pred=15.57, Q_real=0.00
Ep 158: Q_pred=43.97, Q_real=-191.93
Ep 159: Q_pred=8.46, Q_real=0.00
Ep 160: Q_pred=22.74, Q_real=-1274.62
Ep 161: Q_pred=8.94, Q_real=0.00
Ep 162: Q_pred=13.68, Q_real=-8.86
Ep 163: Q_pred=7.06, Q_real=-3.67
Ep 164: Q_pred=3.80, Q_real=-126.39
Ep 165: Q_pred=-1.40, Q_real=0.00
Ep 166: Q_pred=3.45, Q_real=-7.32
Ep 167: Q_pred=-3.88, Q_real=-13.49
Ep 168: Q_pred=22.69, Q_real=-1594.71
Ep 169: Q_pred=23.54, Q_real=-126.89
Ep 170: Q_pred=23.93, Q_real=-63.13
Ep 171: Q_pred=15.56, Q_real=-2118.82
Ep 172: Q_pred=3.52, Q_real=0.00
Ep 173: Q_pred=0.20, Q_real=-67.45
Ep 174: Q_pred=24.39, Q_real=-0.64
Ep 175: Q_pred=-7.43, Q_real=0.00
Ep 176: Q_pred=-1.01, Q_real=0.00
Ep 177: Q_pred=-4.62, Q_real=-1.46
Ep 178: Q_pred=-15.11, Q_real=0.00
Ep 179: Q_pred=11.01, Q_real=-510.74
Ep 180: Q_pred=-3.71, Q_real=0.00
Ep 181: Q_pred=-8.76, Q_real=0.00
Ep 182: Q_pred=-16.04, Q_real=-39.20
Ep 183: Q_pred=-2.10, Q_real=-88.08
Ep 184: Q_pred=-15.47, Q_real=0.00
Ep 185: Q_pred=-4.01, Q_real=0.00
Ep 186: Q_pred=-9.69, Q_real=-55.03
Ep 187: Q_pred=-6.31, Q_real=-24.24
Ep 188: Q_pred=-16.86, Q_real=-25.37
Ep 189: Q_pred=-13.78, Q_real=-32.19
Ep 190: Q_pred=-8.33, Q_real=0.00
Ep 191: Q_pred=-12.70, Q_real=-2.94
Ep 192: Q_pred=-12.56, Q_real=-10.29
Ep 193: Q_pred=-0.07, Q_real=-0.02
Ep 194: Q_pred=-20.21, Q_real=-54.58
Ep 195: Q_pred=-13.88, Q_real=-24.75
Ep 196: Q_pred=-8.90, Q_real=-0.01
Ep 197: Q_pred=-7.70, Q_real=-13.57
Ep 198: Q_pred=8.30, Q_real=-381.94
Ep 199: Q_pred=-4.95, Q_real=-29.54
Ep 200: Q_pred=-6.85, Q_real=-45.67
Ep 201: Q_pred=-24.70, Q_real=-11.08
Ep 202: Q_pred=8.37, Q_real=-920.05
Ep 203: Q_pred=3.13, Q_real=-255.69
Ep 204: Q_pred=-19.21, Q_real=-137.17
Ep 205: Q_pred=-16.27, Q_real=-43.19
Ep 206: Q_pred=-17.91, Q_real=-65.64
Ep 207: Q_pred=-17.43, Q_real=-72.05
Ep 208: Q_pred=-24.36, Q_real=-86.16
Ep 209: Q_pred=-24.17, Q_real=-574.50
Ep 210: Q_pred=-26.15, Q_real=0.00
Ep 211: Q_pred=-25.37, Q_real=0.00
Ep 212: Q_pred=-23.42, Q_real=-76.32
Ep 213: Q_pred=-12.34, Q_real=-68.70
Ep 214: Q_pred=-14.61, Q_real=-47.02
Ep 215: Q_pred=-26.68, Q_real=-89.16
Ep 216: Q_pred=-21.53, Q_real=-53.71
Ep 217: Q_pred=-5.66, Q_real=-509.46
Ep 218: Q_pred=-6.14, Q_real=-381.94
Ep 219: Q_pred=-27.60, Q_real=-5.31
Ep 220: Q_pred=-10.14, Q_real=-843.10
Ep 221: Q_pred=-32.61, Q_real=0.00
Ep 222: Q_pred=-31.73, Q_real=-327.49
Ep 223: Q_pred=-37.90, Q_real=-58.54
Ep 224: Q_pred=-10.99, Q_real=-383.21
Ep 225: Q_pred=-31.94, Q_real=-25.38
Ep 226: Q_pred=-35.26, Q_real=-72.05
Ep 227: Q_pred=-23.33, Q_real=-79.18
Ep 228: Q_pred=-34.52, Q_real=0.00
Ep 229: Q_pred=-36.33, Q_real=0.00
Ep 230: Q_pred=-24.87, Q_real=-25.22
Ep 231: Q_pred=-39.01, Q_real=-293.16
