Gym has been unmaintained since 2022 and does not support NumPy 2.0 amongst other critical functionality.
Please upgrade to Gymnasium, the maintained drop-in replacement of Gym, or contact the authors of your software and request that they upgrade.
Users of this version of Gym should be able to simply replace 'import gym' with 'import gymnasium as gym' in the vast majority of cases.
See the migration guide at https://gymnasium.farama.org/introduction/migration_guide/ for additional information.
pygame 2.5.2 (SDL 2.28.2, Python 3.12.4)
Ep 25: Q_pred=-14.19, Q_real=-320.43
Ep 30: Q_pred=-19.37, Q_real=-0.40
Ep 35: Q_pred=-19.43, Q_real=0.00
Ep 40: Q_pred=-9.39, Q_real=0.00
Ep 45: Q_pred=1.33, Q_real=0.00
Ep 50: Q_pred=14.44, Q_real=0.00
Ep 55: Q_pred=28.18, Q_real=0.00
Ep 60: Q_pred=48.92, Q_real=0.00
Ep 65: Q_pred=50.77, Q_real=0.00
Ep 70: Q_pred=53.51, Q_real=-160.02
Ep 75: Q_pred=69.19, Q_real=0.00
Ep 80: Q_pred=56.11, Q_real=0.00
Ep 85: Q_pred=51.09, Q_real=0.00
Ep 90: Q_pred=64.31, Q_real=0.00
Ep 95: Q_pred=53.66, Q_real=0.00
Ep 100: Q_pred=46.70, Q_real=0.00
Ep 105: Q_pred=53.04, Q_real=0.00
Ep 110: Q_pred=64.56, Q_real=0.00
Ep 115: Q_pred=58.85, Q_real=-321.24
Ep 120: Q_pred=66.14, Q_real=-144.14
Ep 125: Q_pred=46.73, Q_real=0.00
Ep 130: Q_pred=61.04, Q_real=-241.03
Ep 135: Q_pred=39.44, Q_real=0.00
Ep 140: Q_pred=58.27, Q_real=-200.92
Ep 145: Q_pred=37.13, Q_real=-320.43
Ep 150: Q_pred=20.98, Q_real=0.00
Ep 155: Q_pred=15.96, Q_real=0.00
Ep 160: Q_pred=14.30, Q_real=0.00
Ep 165: Q_pred=24.80, Q_real=-240.23
Ep 170: Q_pred=0.69, Q_real=0.00
Ep 175: Q_pred=-6.23, Q_real=0.00
Ep 180: Q_pred=-10.47, Q_real=0.00
Ep 185: Q_pred=-12.48, Q_real=0.00
Ep 190: Q_pred=-11.38, Q_real=0.00
Ep 195: Q_pred=-17.20, Q_real=0.00
Ep 200: Q_pred=16.90, Q_real=-241.03
Ep 205: Q_pred=12.43, Q_real=-801.69
Ep 210: Q_pred=-0.93, Q_real=-321.24
Ep 215: Q_pred=-18.74, Q_real=0.00
Ep 220: Q_pred=-29.84, Q_real=0.00
Ep 225: Q_pred=-26.42, Q_real=0.00
Ep 230: Q_pred=-28.56, Q_real=0.00
Ep 235: Q_pred=-34.75, Q_real=0.00
Ep 240: Q_pred=-13.79, Q_real=-561.06
Ep 245: Q_pred=-38.94, Q_real=0.00
Ep 250: Q_pred=-2.65, Q_real=-762.38
Ep 255: Q_pred=-28.74, Q_real=0.00
Ep 260: Q_pred=-20.00, Q_real=0.00
Ep 265: Q_pred=-31.48, Q_real=0.00
Ep 270: Q_pred=-24.18, Q_real=0.00
Ep 275: Q_pred=-14.50, Q_real=0.00
Ep 280: Q_pred=-35.25, Q_real=0.00
Ep 285: Q_pred=-31.58, Q_real=0.00
Ep 290: Q_pred=-4.19, Q_real=-160.82
Ep 295: Q_pred=-20.63, Q_real=0.00
Ep 300: Q_pred=-13.12, Q_real=-320.43
Ep 305: Q_pred=-38.01, Q_real=0.00
Ep 310: Q_pred=-17.05, Q_real=0.00
Ep 315: Q_pred=-15.21, Q_real=-80.61
Ep 320: Q_pred=-34.44, Q_real=0.00
Ep 325: Q_pred=-44.04, Q_real=0.00
Ep 330: Q_pred=-15.26, Q_real=-682.18
Ep 335: Q_pred=-45.56, Q_real=0.00
Ep 340: Q_pred=-37.74, Q_real=0.00
Ep 345: Q_pred=-23.71, Q_real=-0.40
Ep 350: Q_pred=-35.03, Q_real=-39.70
Ep 355: Q_pred=-51.08, Q_real=0.00
Ep 360: Q_pred=-37.11, Q_real=0.00
Ep 365: Q_pred=-48.24, Q_real=-561.06
Ep 370: Q_pred=-44.26, Q_real=0.00
Ep 375: Q_pred=-31.31, Q_real=0.00
Ep 380: Q_pred=-48.37, Q_real=-400.64
Ep 385: Q_pred=-48.42, Q_real=-480.85
Ep 390: Q_pred=-40.95, Q_real=0.00
Ep 395: Q_pred=-42.77, Q_real=-160.82
Ep 400: Q_pred=-41.96, Q_real=0.00
Ep 405: Q_pred=-50.82, Q_real=0.00
Ep 410: Q_pred=-64.66, Q_real=0.00
Ep 415: Q_pred=-49.61, Q_real=-160.82
Ep 420: Q_pred=-68.87, Q_real=0.00
Ep 425: Q_pred=-51.98, Q_real=0.00
Ep 430: Q_pred=-64.09, Q_real=0.00
Ep 435: Q_pred=-74.40, Q_real=-160.82
Ep 440: Q_pred=-54.79, Q_real=-481.65
Ep 445: Q_pred=-62.14, Q_real=0.00
Ep 450: Q_pred=-72.57, Q_real=0.00
Ep 455: Q_pred=-73.64, Q_real=0.00
Ep 460: Q_pred=-60.10, Q_real=0.00
Ep 465: Q_pred=-77.74, Q_real=0.00
Ep 470: Q_pred=-78.27, Q_real=0.00
Ep 475: Q_pred=-79.47, Q_real=0.00
Ep 480: Q_pred=-83.64, Q_real=0.00
Ep 485: Q_pred=-92.61, Q_real=0.00
Ep 490: Q_pred=-94.54, Q_real=0.00
Ep 495: Q_pred=-88.45, Q_real=0.00
Saved analysis to /home/erzhu419/mine_code/LSTM-RL/ensemble_paper/q_comparasion/sac_q_accuracy.npy
